unique ID,query_text,category
30,general scienece,general
31,I'm trying to get a better grasp of Social Exclusion,academic_servable
32,project setsuna,junk
33,How to solve kinematic,general
34," Let us consider the figure as: In rhombus PQRS, PQ=3 cm We know, in a rhombus all sides are equal. Then, PQ=QR=RS=PS=3 cm ∴ Perimeter of a rhombus =4×(side) =4×(3) cm =12 cm Hence, perimeter of a rhombus is 12 cm. ",academic_non_servable
35,I'm trying to get a handle on Waste Products from the Pharmaceutical Industry,academic_servable
36,What is cell,academic_servable
37,"A disc of radius 50 c m is projected from the ground with its plane vertical, such that the velocities of the topmost point (A) and lowest point (B) are : \[ \vec{v}_{A}=20 \hat{i} + 10 \hat{j} \mathrm{~m} / \mathrm{s}, \quad \vec{v}_{B}=10 \hat{i} + 10 \hat{j} \mathrm{~m} / \mathrm{s} \] at the instant of projection. Here, i ^ and j ^ are unit vectors in the plane of the disc, along the horizontal and vertically upward directions respectively. The range of the disc is (in metre):",academic_servable
38,Gram Panchayat,academic_servable
39,what is Non-Procedural Query Language,academic_servable
40,Network Models,academic_servable
41, The next higher homologue of ethanoic acid (CH3COOH) is propanoic acid (C2H5COOH). The general formula of carboxylic acid is given by CnH2n + 1COOH (where n is the number of carbon atoms in the molecule). ,academic_non_servable
42,formation of constitution,academic_servable
43,Number of People in a Family,academic_servable
44,Identifying Three Dimensional Shapes or Solid Shapes,academic_servable
45,emergency heroes,junk
46,Ex 12.1 Q12,conversational
47,I will have mathamatics basucs,general
48,Rupee and Paise,academic_servable
49,Indefinite Integral Test - 2,general
50,"In an A.P the sum of first 9 terms is 14 more than 5 times the 8th term, 8th and 2nd terms are in the ratio 11:2, Find the sum of first 20 terms of the A.P",academic_servable
51, Computer,general
52,Note: Some of the candidates have requested verification of their questions for possible errors while writing the exam. A committe appeared. The above moderated BITSAT - 20'22 score of your's is the final score. geen given to all the candidates to whom any question,junk
53,Can you give me some guidance on nagaland board,general
54,Jaldi bhejo,conversational
55,social change and social process,academic_servable
56,Statistical Graphs Test - 2,general
57," Silk is obtained from a silkworm. Silk is a fine, strong, soft and shining fibre produced by silkworms in making their cocoons. The process of silk production is known as sericulture. ",academic_non_servable
58,Looking for some background on Entropy Change in Irreversible Process,academic_servable
59," We know that the whole numbers are 0, 1, 2, 3, 4, 5, 6, 7, 8, ...... So, whole numbers below 7 are 0, 1, 2, 3, 4, 5 and 6. So, the set {whole numbers below 7}=0, 1, 2, 3, 4, 5, 6. Counting the number of elements in the set, we get that there are 7 elements, which is the cardinal number of the set. Therefore, the required cardinal number of the set is 7. ",academic_non_servable
60,Embibe Big Book for Science for NTSE Stage I - Mizoram,general
61,Can you give me some guidance on Reviewing Number Concepts,academic_servable
62,Everybody Dance,junk
63,No doubts.?,junk
64,B Pham 2nd semester pharmaceutical organic chemistry Qualitative test for amine,general
65,Thanks hi there,conversational
66,Bread Mould,academic_servable
67," Given, - 3a - 2= - 5 Add 2 on both the sides ⇒ - 3a - 2 + 2= - 5 + 2 ⇒ - 3a= - 3 Divide by ( - 3) on both the sides ⇒ - 3a - 3= - 3 - 3 ⇒a=1 Hence, a=1 is the required solution. ",academic_non_servable
68,A bank buys 1 Australian Dollar (AUD) for 0.72 Euros (EUR) and sells 1 AUD for 0.70 EUR. Frida wants to exchange 800 AUD for EUR.,academic_non_servable
69,Biotechnological Applications in Health,academic_servable
70,"15. Here is a Math machine where 4 put inwards it, the number 14 came out. Write down the results when these numbers were feed in the machine. 16 68 23 79 14 80 35 51 Divide the class in groups of 4. Each group has to bring 30 − 40 ice cream spoons and a few rubbe bands. Each group will make bundles using 10 ice cream spoons and r bands. Teacher will speak the number, say 33. The group which is able to show the correct combination in the time is the winner.",academic_non_servable
71," The given addition is: H T O 3 2 + 4 6 We need to add the numbers according to the place value from right to left. Ones Place: 2 + 6=8. Put the 8 in ones place. Tens place: 3 + 4=7. Write 7 at tens place. Now the complete addition is: H T O 3 2 + 4 6 7 8 Hence, the required answer is 78. ",academic_non_servable
72,Nearly students across how many word problems in Mathematics of class 10th,general
73,Mathematics for Class 9,general
74,Methane as Pollutant,academic_servable
75,I need distance education for MBA logistics and supply chain management course in Madras University,general
76,WipEout 3,junk
77,31:248::42:? A.444 B.548 C.604 D.504,academic_servable
78,"5. In a city there were 8000 blood donors. As a result of blood donation camps organised by variog schools in that city, the number of blood donors registered an increase of 20 % per annum, fils the total number of new donors registered during the next 1 1 2 years. Recall A term is a number",academic_servable
79,Cottage Industries,academic_servable
80,"What do you know about menstruation,",junk
81, ( − 2 ) 3 + ( − 2 ) 2 + ( − 2 ) + 7 ,academic_servable
82,Conect me to chemistry faculty,conversational
83,Characteristics of Brain,academic_servable
84,I have a doubt ?,junk
85,"Study the following information to answer the given questions. G, H, I, J, S, T and U are seated in a straight line facing north, with equal distance between each other but not necessarily in the same order. I sits second to the right of T. U sits third to the right of I. H sits third to the left of S. S does not sit at any of the extreme ends of the line. Only one person sits between S and G. ",academic_non_servable
86,Friendship,academic_servable
87,Motion in a Horizontal Circular Track,academic_servable
88," Given: ∠C=45°,∠D=30°,CD=10 m. Let the height of the tower be AB. Consider △ABC, ⇒tan45°=ABBC ⇒1=ABBC ∴AB=BC Consider △ABD, ⇒tan30°=ABBD ⇒13=BCBC + 10 ⇒BC + 10=BC3 ⇒BC3 - BC=10 ⇒BC3 - 1=10 ⇒BC=103 - 1×3 + 13 + 1 ⇒BC=103 + 12 ⇒BC=51.73 + 1 ∴BC=13.65=13.7 m ∵BC=AB⇒AB=13.7 m Hence, the height of the tower is 13.7 m. ",academic_non_servable
89,Corpse Party: Blood Drive,junk
90,"4 dice are thrown 200 times. Fit a Binomial distribution using the following data and estimate the expected frequencies for getting the numbers 4,5 or 6 . \begin{tabular}{|c|l|l|l|l|l|l} Getting 4,5,6 & 0 & 1 & 2 & 3 & 4 & Total \\ \hline Frequency & 62 & 85 & 40 & 11 & 2 & 200 \\ \hline \end{tabular}",academic_servable
91,Administration in New Kingdoms of Medieval India,academic_servable
92,Discuss the structure and function of spinal chord,academic_servable
93,Karl Pearson'S Correlation Coefficient,academic_servable
94,Tokimeki Memorial: Forever With You,junk
95,Auxiliary Circle of Rectangular Hyperbola,academic_servable
96,Substitution Method to Solve Equations,academic_servable
97,Perpendicular Planes,academic_servable
98,Reply answers,conversational
99,Trigonometric Equations and Inequalities Test - 1,general
100,Cross product..mock papers,general
101," Number of friends n=5. Number of ways of choosing at least one object from n objects=2n - 1. Therefore, number of ways of inviting one or more friends to dinner=25 - 1 =32 - 1 =31. ",academic_non_servable
102,Have you heard of As we grow,academic_servable
103,first and last question,conversational
104, chromosome and nuclear division,general
105,U wake up already? Thanx 4 e tau sar piah it's quite nice.,junk
106,The unit of frequency is_____.,academic_servable
107," Given, 8.07 First, we remove the decimal point from the numerator, then in the denominator, we write 1 followed by the two zeros as there are two digits in the decimal part of the decimal number. i.e. 8.07=807100 Hence, 8.07 in decimal fraction =87100. ",academic_non_servable
108,Sharing of Architectural Ideas across Regions in Medieval India,academic_servable
109,hi loving it﻿,conversational
110,my first dollhouse,junk
111,Akbar's Revenue System,academic_servable
112,Folk Goddess Pochamma,academic_servable
113,Measuring Atmospheric Pressure and Its Unit,academic_servable
114,Please sir call me,junk
115,"Good Stuff, Will Do.",conversational
116,6th Meghalaya Board,general
117,Great! I have to run now so ttyl!,conversational
118," Diffusion is the property which is responsible for this behaviour of perfume vapours. In the gaseous state, the particles move randomly at high speed due to less intermolecular force of attraction. Hence, the perfume vapours spread in the entire room. ",academic_non_servable
119," The substance that provides heat on burning is called fuel. Fuel releases energy as heat energy that is used to run vehicles, machines, etc. Fuel is the source of energy for petrol and diesel. Petrol and diesel are obtained from petroleum which is dug out from deep inside the earth. ",academic_non_servable
120,Effect of Air Pollution to Human Health,academic_servable
121, Time And Distance,general
122,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",junk
123,Water Borne Communicable Diseases,academic_servable
124,i askedd,conversational
125,Ok bye I am sleeping sorry ,conversational
126," Given, 5x + 4=24 Shifting the constant term to RHS, we get 5x=24 - 4 ⇒5x=20 Again shifting the constant term to RHS, we get ⇒x=205=4 Hence, the required value of x is 4. ",academic_non_servable
127,explain what will happen if in a cultivated field only manure are supplied keeping all other conditions similar,academic_servable
128,Common diseases in Humans,academic_servable
129,Introduction to Health and Diseases,academic_servable
130,Legion: The Legend Of Excalibur,junk
131,U guys never invite me anywhere :(,conversational
132,Tailwater Reuse,academic_servable
133,Subject-Verb Agreement Test - 1,general
134,Novdec,general
135,Ok thankyou,conversational
136," Given that variance of 20 observations is 5. From the properties of variance, if a random variable X with variance V is multiplied by a constant k, then the resultant variance is k2V. Hence, the variance of resultant observations when each of observation is multiplied by 2 is 5×22=20. ",academic_non_servable
137,कलन विधि से गति के समीकरण की व्युत्पत्ति कीजिए,academic_servable
138,what is bestiality,junk
139,Some More Shapes Test - 1,general
140,What do you know about Growing Up in Samoa in the 1920s,academic_servable
141,Super Fruit Fall,junk
142,Prevention and Control of Addiction,academic_servable
143,Modals and Auxiliaries Test - 1,general
144,Fills,academic_servable
145,Forces Acting on Earth,academic_servable
146,Which course is better in be tech,conversational
147," Given: 3x - 2 + 2x - 1 The lowest common multiple of (x - 2) and (x - 1) is (x - 2)(x - 1). Therefore, this will be the common denominator. 3x - 2 + 2x - 1=3(x - 1)(x - 2)(x - 1) + 2(x - 2)(x - 2)(x - 1) =3x - 3(x - 2)(x - 1) + 2x - 4(x - 2)(x - 1) =3x - 3 + 2x - 4(x - 2)(x - 1) =5x - 7(x - 2)(x - 1) ",academic_non_servable
148,Is smell matter,conversational
149,What happened in 1848 revolution in France ?,academic_servable
150,Dead Space Extraction,junk
151,Saturn,academic_servable
152,Q2. sin π 15 + sin 4 π 15 − sin 14 π 15 − sin 11 π 15 = ? ,academic_servable
153,"barbie: jet, set & style!",junk
154,"Cool, I'll text you when I'm on the way",conversational
155,ALSO TELL HIM I SAID HAPPY BIRTHDAY,conversational
156,Nanostray,junk
157,Metals and Non-Metals Test - 2,general
158,TS EAMCET Medical 2018 (02 May Shift-1),general
159,Footprint,academic_servable
160,1st karnataka state board,general
161," Given, i49 + i68 + i89 + i110 =i(48 + 1) + i68 + i(88 + 1) + i(108 + 2) =i412×i + i417 + i811×i + i427×i2 =i + 1 + i - 1 ∵ i4=1, i2= - 1 =2i ∴ i49 + i68 + i89 + i110=2i Hence, the required value of k is 2. ",academic_non_servable
162,Idempotent Property of Sets' Union,academic_servable
163,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,conversational
164,wonder pets! save the animals!,junk
165," Our Original number = 10x + y And number made by reversing the digits = 10y + x Now, given that Sum of digits = 10 x + y = 10 According to Question Number formed by reversing the digits + 18= Original Number 10y + x + 18 = 10x + y 9y - 9x = - 18 Dividing both sides by 9 y - x = - 2 y - (10 - y) = - 2 y + y - 10 = - 2 2y = 8 y = 4 x = 10 - y x = 10 - 4 x = 6 Hence, the original number =64 ",academic_non_servable
166,Maam,conversational
167,Why do we laugh ?,general
168,Measurement of Growth in Animals,academic_servable
169, Elements and the Periodic Table,general
170,RayStorm,junk
171,Soil Types,academic_servable
172,Sly 2: Band of Thieves,junk
173,Relation Among Coefficients of Elasticity,academic_servable
174,Ear Ossicles,academic_servable
175," Given, 2x - 33x - 7<0, x∈R Signs of 2x - 3: 2x - 3=0 → x=32 2x - 3<0 → x<32 2x - 3>0 → x>32 Signs of 3x - 7: 3x - 7=0 → x=73 3x - 7<0 → x<73 3x - 7>0 → x>73 Function is not defined at x=73 Interval that satisfies the required condition is 32<x<73 Therefore, x∈32,73 Comparing with the given data, k=3 ",academic_non_servable
176,Being Respectful,academic_servable
177,Number Test - 1,general
178,What do hard water contains,academic_servable
179,Cyclic Process,academic_servable
180," We have, 53x + 5=1x - 1 By cross - multiplication, we get 5x - 1=3x + 5 ⇒5x - 5=3x + 5 Shifting the constant terms at one side and variable to other side, ⇒5x - 3x=5 + 5 ⇒2x=10 ⇒x=102 ⇒x=5 Hence, x=5 is the solution to the given equation. ",academic_non_servable
181,Sir you don't have given my answer,conversational
182,Great.This is a song﻿,conversational
183," lim x → 0 ( ∑ r = 0 n ( − 1 ) r ⋅ n C r ⋅ ( ∑ k = 0 n − r n − r C k ⋅ x k ⋅ 2 k ) ⋅ ( x 2 − x ) ) 1 / x = e n λ , then λ is equal to",academic_servable
184,kkkk,junk
185,Operations On Decimals,general
186,Love It!!!!!!!!!!!!!!!!💜﻿,conversational
187," Changes which take a long time to occur are called slow changes. Growth of plant from a seed takes a lot if time. Therefore, it is an example of a slow irreversible change. ",academic_non_servable
188,"I'm interested in learning more about the topic of menstruation,",junk
189,How do we calculate the percentage in ex 12.6 5 sum for box and whisker plort,academic_servable
190,Noj,junk
191,SIKHS,academic_servable
192,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,junk
193,Decimal class6 full chapter,general
194,The picture given is of a spider. It is not an insect; it builds web and lives in it. This web helps the other insects to get trapped and the spider feeds on the trapped worms or insects. ,academic_non_servable
195,Minerals and Industries in Europe,academic_servable
196,Calorific Value of Food,academic_servable
197,"Need more information on the topic of lube,",junk
198,"mutherfucker,",junk
199,"I can't comprehend why this video has nearly 700,000,000 views. Some people  found 'Gangnam Style' funny so that explains its high view count but this  is just an awful pop song. I really have no clue on this one.﻿",junk
200,"I'm interested in finding out more about chode,",junk
201,Reactivity of Halogens with Oxygen,academic_servable
202,Classification of Compounds Based on Aromaticity,academic_servable
203,Advantages of Mathematical Modelling,academic_servable
204,Approaches To Solve Syllogism,academic_servable
205,Q.90 The structure of major product in following reaction is : - (1) (3) (4) C H C l 3 ,academic_servable
206,Bird's Feet to Hold Branches,academic_servable
207,"Events E and F are independent. Find P ( F ) , if P ( E ) = 2 5 and P ( E U F ) = 3 5 .",academic_servable
208,"(1) 25 c m (3) 225 c m (2) 75 c m (4) 150 c m vertical at an angle α column along the length 6. There are four cylindrical vessels identical in (1) h cos α ( 2 ) dimensions. If these are filled with equal masses of four different liquids P , Q , R and S such that their densities are ρ P > ρ Q > ρ R > ρ S , then pressure at the (3) h sin α ( 4 ) base of vessels is (1) P P = P Q = P R = P S (2) P P > P Q > P R > P S (3) P P < P Q < P R < P S (4) Data is insufficient to predict relation",academic_servable
209,our friends-animals test - 1,general
210,"And how you will do that, princess? :)",conversational
211,Donkey Kong Land III,junk
212,Spider-Man: Mysterio'S Menace,junk
213,Find the speed of light in transparent medium in the reflected index of the medium is 1.8.,academic_servable
214,Looking for more details about ch muhammed koya scholarship,general
215,erasable programmable read-only memory (eprom),academic_servable
216,MHT-CET TRIUMPH Physics Multiple Choice Questions Part - 2 Based on Std. XI & XII Syllabus of MHT-CET,general
217,Blue Rebellion of 1859,academic_servable
218," Lepidopleurus is bilaterally symmetrical, dorsoventrally flattened shelled organisms that belong to the genus of molluscs. These bear eight transverse plates. The class which includes these animals is Polyplacophora. ",academic_non_servable
219,"In the 19th century, hundreds of thousands of Indian and Chines labourers went to the work on plantations, in mines, and in road and railways construction projects around the world. In India, they were hired under the contract which promised return travel to the India after they had worked five years on their employer's plantations.",academic_non_servable
220,"White phosphorus is highly unstable at room temperature. To prevent the contact of phosphorus with atmospheric oxygen, it is stored in water. Phosphorous can react with oxygen present in air which leads to spontaneous combustion and catch fire. ",academic_non_servable
221,Questions no. 36,conversational
222,"एक अंतः केंद्रित घनीय (BCC) व्यवस्था पर विचार कीजिए, माना कि d e , d f d , d b d एक एकक कोष्ठिका में क्रमशः किनारे, फलक विकर्ण और काय विकर्ण के अनुदिश स्थित क्रमिक परमाणुओं के बीच की दूरी है, तो इनका क्रम निम्न द्वारा दिया जाता है - (A) d e < d f d < d b d (B) d f d > d b d > d e (C) d f d > d e > d b d (D) d b d > d e > d f d पिछला सेव करें और आगे बढ़ें",academic_servable
223,"Rohit focused the image of a candle flame on a white screen using a convex lens. He noted down the position of the candle, screen and lens as under: Position of candle = 26.0cm Position of convex lens = 50.0 cm Position of screen = 74.0 cm (I) What is the focal length of the convex lens? (II) Where will the image be formed if he shifts the candle towards the lens at a position of 38 cm (III) Draw a ray diagram to show the formation of the image in case (ii) as said above?",academic_servable
224,Love this video and the song of course﻿,conversational
225,"The sum of the digits of a two - digit number is 9. If 17 is subtracted from the number, both the digits of the number become equal. Find the number. ",academic_servable
226," Given that, 18 - 3 Line up the number 18 - 03 Sutract digits in the one place column i.e8 - 3 In the given picture cross the three loose stick and count remaining loose sticks. =5 18 - 035 Now subtract tens place digit 18 - 0315 Hence the final answer=15 ",academic_non_servable
227,Puyo Pop Fever(us sales),junk
228,Embibe Quantitative Aptitude,general
229,WHITEOUT,junk
230,God of War: Ascension,junk
231," The rusting of iron is a chemical change. When the iron rusts, iron molecules react with water and oxygen molecules to form a compound called iron oxide. The formation of brown - flaky layer on iron objects is known as rusting and the brown layer is known as rust. As this process results in the formation of a new substance, it is considered as a chemical change. ",academic_non_servable
232,Lol U Still Feeling Sick?,conversational
233,banswara,general
234,Halo Triple Pack,junk
235,3. The height of a room is 3 m 50 c m . A bulb is hung from the ceiling by a wire of length 1 m . If the length of the bulb is 10 c m what is the height of the bottom of the bulb from the floor?,academic_servable
236,Element A has 2 electrons in its M shell. Element B has atomic number 7.,academic_non_servable
237,what is nature and development of social work,general
238,Simplify: 1.5p + 1.2q2 - 1.5p - 1.2q2,academic_servable
239,tura muse ke,junk
240,"An arrangement machine, when given an input line of numbers, rearrange them following a particular rule in each step. The following is the illustration of the input and steps of arrangement: Input: 37, 29, 17, 51, 46, 22, 71 Step I: 71, 29, 17, 51, 46, 22, 37 Step II: 71, 37, 17, 51, 46, 22, 29 Step III: 71, 37, 29, 51, 46, 22, 17 Step IV: 71, 37, 29, 46, 51, 22, 17 Step V: 71, 37, 29, 46, 51, 17, 22 Since the numbers are already arranged, the machine stops after this step. Otherwise, the machine may carry on its logic until the numbers get fully arranged. Study the logic and answer the questions that follow: ",academic_non_servable
241,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,junk
242,Role of Sodium in Plants,academic_servable
243,"Damn, can you make it tonight or do you want to just wait til tomorrow",conversational
244," Two male gametes are produced by pollen grains on germination. In plants, double fertilization is seen. One male gamete fuses with the egg cell to form zygote and the other with two polar nuclei to form primary endosperm nucleus. ",academic_non_servable
245,1. The differential equation of all parabolas whose axis of symmetry is along X - axis is of order. (d) None of the (a) 2 (b) 3 (c) 1 x 2 = 4 y is,academic_servable
246,Double Redox Titration,academic_servable
247,A packet of sweets contains 12 red and five yellow sweets.,academic_non_servable
248,shemale,junk
249,The Mysterious Case of Dr. Jekyll and Mr. Hyde,junk
250,ᴏɪ,junk
251,what is Magnetic Field Due to a Straight Semi-infinite Wire,academic_servable
252,Please go in and see our Channel and subscribe :-). It would be Nice mate.,conversational
253,K L Chugh,general
254,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,junk
255,Adsobs,junk
256,Interaction between Two or More Lines,academic_servable
257,What is the difference between chromosomes and chromatids,academic_servable
258,Eighteenth-Century Political Formation Test - 2,general
259,I didn't get,conversational
260,Lowest Frequency Value,academic_servable
261,reaction kinetics test - 2,general
262,jaypee university of engineering and technology,general
263,st uttar pradesh board,general
264,bcc ma sankulan kshamta,conversational
265,Solve by you not from internet,conversational
266,What is 2 + 2=?,junk
267,Some schools and some families keep children away from games because they think children who play games cannot study well. Is this correct? What is your on this?,academic_servable
268,pseb,general
269,"In questions below, a series is given with one term missing. Choose the correct alternative from the given ones that will complete the series.",academic_non_servable
270,what do you mean by role of religious,academic_servable
271," Given: - 29×( - 5) In multiplication of rational number we multiply the numerators together and the denominator together. Place the product of the numerators over product of the denominators. Now, - 29×( - 5)= - 2× - 59 =109 Hence, the required value is 109. ",academic_non_servable
272,Timetable,general
273,Vardhman,general
274,Define focal length.,academic_servable
275,"Predecessor, Successor and in between Numbers",academic_servable
276," − 3 , 2 ",junk
277,"Can you help me with napalm,",junk
278,Petroleum in India,academic_servable
279,Ｈｔｔｐ://Ｗｗｗ.Ｅｂａｙ.Ｃｏｍ/Ｕｓｒ/Ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,junk
280," Albert Einstein told that mass can be converted into energy. He proposed a relation between mass (m) and energy (E) by the equation:E=mc2. In the equation, the increased relativistic mass (m) of a body times the speed of light squared (c2) is equal to the kinetic energy (E) of that body. The fifth state of matter is known as Bose - Einstein condensate. ",academic_non_servable
281,General Science Paper - 2 Test - 1,general
282,secretary,general
283,Fremtify binomial from the following expressions? N \& N 124 . Solve: (2) 4 y − 7 z (b) y 2 (c) 70 (d) None of these N + ( R ,academic_servable
284," Given, There are 6 boxes of diyas. Each box contains 4 diyas. Now, total number of diyas =6× 4 = 24 Hence, the total number of kites are 24. ",academic_non_servable
285,Directions Test - 1,general
286,Oilseed Production in Punjab,academic_servable
287,Tens And Ones Test - 2,general
288,in physics,conversational
289,Virgin,junk
290,Multiplication Sentence,academic_servable
291,Introduction to Agriculture Test - 2,general
292,Temples Of Ancient India,academic_servable
293,taxonomy test - 2,general
294,r d madan,general
295," We have to make a the subject of the formula S=n2(a + l) The dependent variable that is expressed in terms of the independent variables in a formula is called the subject of the formula. Subject of the formula can be changed by transposition i.e. shifting terms from one side to other side. Here, S=n2(a + l) Interchanging L.H.S and R.H.S, we get n2(a + l)=S Shifting the terms to the R.H.S, we get a + l=2Sn a=2Sn - l. ",academic_non_servable
296,I am waiting for answer,conversational
297," To an astronaut in the spaceship sky will appear as black because on earth we see the blue sky due to presence of atmosphere. Atmosphere scatters light ray coming from the sun and we see blue colour of sky. In space, due to the absence of the atmosphere the light rays do not scatter and hence reach the astronomer's eyes therefore it appears black. ",academic_non_servable
298,Acids And Bases Test - 2,general
299," Here u → + v → + w → =0 Squaring both the sides, (u → + v → + w → )2=(0)2 u → 2 + v → 2 + w → 2 + 2u → ·v → + 2v → ·w → + 2w → ·u → =0 (3)2 + (4)2 + (5)2 + 2u → ·v → + v → ·w → + w → ·u → =0 2u → ·v → + v → ·w → + w → ·u → = - 50 u → ·v → + v → ·w → + w → ·u → = - 25 ",academic_non_servable
300,Environment and Ecology Test - 2,general
301,Whose watching this in 2015. If so hi-5﻿,junk
302,Predicted Paper BITSAT 2022,general
303,Vegas Party,junk
304,Number Analogy Classification and Series Test - 2,general
305," Air is present everywhere around us. We cannot see it, but we can feel it. Air is a mixture of gases. Plants keep the air fresh and clean. We use oxygen gas for breathing. We take in the oxygen gas and breath out carbon dioxide. ",academic_non_servable
306,(ii) lim x → − 2 x 3 − 7 x − 6 x 4 + 5 x − 6 ,academic_servable
307,Have you heard of political organisation,general
308,Festivals And National Celebrations Test - 1,general
309,"28. - 4An object is subjected to a constant pressure of 4 × 10 8 pa Bulk modulus of that material is 8 × 10 8 N / m 2 . If its initial density is 12 × 10 3 k g / m 3 , is new density under this applied pressure is 1) 12200 k g / m 3 2) 12240 k g / m 3 3) 12600 k g / m 3 4) 24 × 10 3 k g / m 3 ",academic_servable
310,Waste Products Test - 1,general
311," Given expression is 3ln2 + ln3 We know that plogam=logamp, where m>0,a>0,a≠1, and p∈R. ∴3ln2 + ln3=ln23 + ln3 =ln8 + ln3 =ln8×3 ∵ logamn=logam + logan. m>0,n>0,a>0,a≠1 =ln24 Hence, 3ln2 + ln3=ln24 ",academic_non_servable
312, Reuse,general
313,87 - 43=,academic_servable
314,introduction to coordinate geometry,academic_servable
315,Yoga,academic_servable
316,than,junk
317,कृपया मुझसे हिंदी में बात करें,conversational
318," The given fill in the blanks is: 20÷ _____ =10 Let us use the multiplication fact with 20 and 10 to find the missing number. Now, from the multiplication table of 10 we have 10×2=20 Writing the division fact for the above multiplication fact we get, 20÷2=10 Hence, the required answer is 2. ",academic_non_servable
319,Properties of Solids,academic_servable
320,I'm trying to gather information on Evolution of Houses,academic_servable
321,Tiger Woods PGA Tour 2000,junk
322,WCW/NWO Thunder,junk
323,I Want To Score In Midterm,academic_servable
324," The given algebraic expression is x + y By substituting x= - 3 and y=2 we will get x + y= - 3 + 2 = - 1 Hence, the required answer is - 1 ",academic_non_servable
325, Elongated tube in pistil connecting ovary and stigma is called the style. It leads to the ovary that contains the ovules. ,academic_non_servable
326,bass strike,junk
327,State mendeleefs modified periodic law,academic_servable
328,Mining in India,academic_servable
329,sky vision test - 2,general
330,Can you help me decipher How Fabrics are made,academic_servable
331,KCET UG Chemistry Full Test - 4,general
332,"3, ?, -13, -21, -29, -37, -45",academic_servable
333,Biotechnology and Genetic Engineering Test - 2,general
334,Impact of Free Trade Agreement -FTA on India,academic_servable
